ID,Ring-necked Dove,Black Cuckoo,Red-chested Cuckoo,Fiery-necked Nightjar,Green Wood Hoopoe,Crested Barbet,Cape Batis,Olive Bushshrike,Orange-breasted Bushshrike,Bokmakierie,Black-backed Puffback,Southern Boubou,Black-headed Oriole,Fork-tailed Drongo,African Paradise Flycatcher,Sabota Lark,Eastern Clapper Lark,Rufous-naped Lark,Dark-capped Bulbul,Sombre Greenbul,Long-billed Crombec,African Reed Warbler,Rattling Cisticola,Levaillants Cisticola,Tawny-flanked Prinia,Karoo Prinia,Bar-throated Apalis,Green-backed Camaroptera,Chestnut-vented Warbler,Cape White-eye,Karoo Scrub Robin,White-browed Scrub Robin,Cape Robin-Chat,White-browed Robin-Chat,Chorister Robin-Chat,Southern Double-collared Sunbird,White-bellied Sunbird,African Pipit,African Rock Pipit,Cape Bunting
019OYB,0.00031407695,4.066539e-06,0.000111844136,0.99455947,9.899971e-07,1.4614649e-05,1.390285e-05,0.00030669224,0.00016487927,0.00016478181,2.082663e-05,3.7742789e-06,2.6040563e-05,2.3165507e-05,3.3851666e-05,1.680917e-05,8.402001e-06,3.539227e-05,0.002035431,1.6723849e-05,1.5326965e-05,3.4850805e-07,9.754912e-07,2.8110492e-07,3.0198032e-06,6.706876e-07,4.9809364e-06,8.8691795e-06,1.4889544e-05,1.48227e-05,8.371411e-07,4.4135513e-06,1.3367741e-05,0.0008347317,0.0011139094,3.4147524e-06,3.7588885e-07,9.7541246e-08,8.81198e-05,6.653008e-07
01S9OX,0.0001662586,1.4568095e-05,7.2107505e-05,3.7801798e-05,5.8480986e-05,6.575301e-05,0.0007044896,0.00025404288,0.0004219418,0.012595319,1.0030875e-05,0.00044176044,0.0006611535,5.509647e-05,1.7486833e-05,0.0048266887,0.0024157343,0.00026402582,9.629029e-05,2.128729e-05,5.7979087e-05,0.003992983,0.0002659081,3.2247517e-05,6.9207063e-06,0.0004524539,0.0028694614,0.00050236116,0.9630022,0.0001647167,0.00080769137,0.00046833672,0.00050153566,7.785327e-05,0.0010769931,1.2807667e-05,5.8719786e-05,0.00035264276,0.0001612951,0.0019345254
02CS12,0.0043005864,0.00046024425,0.0003514176,0.023975367,0.019449044,0.001943689,0.023100507,0.0007209507,0.0014805672,0.003592769,0.00329581,0.004312803,0.0009162443,0.004645464,0.004342067,0.0029074175,0.1143137,0.0050634136,0.020469883,0.00019713183,0.02370746,0.012238683,0.02997725,0.005564123,0.0015925332,0.30205947,0.010698635,0.0033976263,0.00014758488,0.0024356407,0.23480967,0.0006652676,0.00020849398,0.0042999424,0.00012839821,0.055290367,0.0002691297,0.051281717,0.0014889596,0.01989994
02LM3W,1.2395936e-06,6.734584e-08,7.460508e-06,5.011512e-07,1.9492659e-06,8.880784e-07,3.5840758e-06,0.99979705,2.0028936e-05,9.566057e-05,1.6804418e-07,3.0807882e-07,4.999866e-06,2.0875854e-07,1.8384307e-08,1.3133906e-09,9.3336865e-08,2.0287528e-08,1.3868987e-10,7.508332e-11,8.8485566e-09,6.618995e-07,1.5775912e-08,1.8325633e-08,1.0116766e-08,9.2725934e-08,5.9489976e-05,2.8898867e-06,5.8937825e-08,1.1446685e-09,1.6167233e-07,3.456433e-08,1.4957859e-08,6.482766e-08,2.1880787e-06,3.5618677e-09,1.4875512e-09,1.8801549e-08,5.931616e-09,1.8857973e-08
0C3A2V,9.99687e-05,0.0037404022,5.3482298e-05,4.4066615e-05,0.0073464713,4.146143e-05,0.00027180582,0.0033356717,1.1823637e-06,7.057627e-08,0.0015662422,0.0002444241,0.0022161996,0.004184855,0.0008820424,0.00012734752,1.562414e-05,3.8080398e-05,2.7938517e-05,2.707353e-06,0.0005111419,0.0012413834,0.00052616163,3.9360417e-05,1.3402561e-06,6.8545436e-05,0.00014273934,0.00013944556,8.971834e-05,0.79664165,0.00027291494,6.5945746e-06,0.050795905,0.0457188,0.07543501,0.0035924523,8.8589244e-05,0.00042666146,1.6207723e-05,5.5044643e-06
0D4A65,0.00077975774,2.1955213e-05,4.398085e-05,0.0028160126,0.0003342967,0.0009199299,0.21247996,0.3589743,3.4918896e-05,0.30210066,3.5674195e-05,0.00036132874,0.00014860606,0.000102515936,0.0014309997,6.185456e-06,0.0026685954,5.644741e-06,0.00023048845,0.00017281772,0.000118682074,0.0015533192,2.0391779e-07,0.0013122396,5.125452e-05,0.01031028,0.053536925,0.0013491481,3.878281e-05,1.9762394e-05,0.036170818,6.513656e-07,0.00014044362,9.754332e-05,2.7101656e-05,1.4855058e-05,7.684385e-06,0.0009804456,0.009943857,0.000657253
0DK4NW,0.019517558,0.0029495577,0.0002687951,0.0017723095,0.0023580163,0.0031997913,0.0006149552,0.04685069,0.00061824376,0.00032174244,0.7514733,0.013229064,0.00011708001,3.8116457e-05,0.0028568062,2.3776676e-05,0.0039076875,0.0015613624,0.00653685,0.00027150696,0.0057657114,0.00017227545,0.00041160278,0.001090673,0.0018053522,0.080176644,0.00352013,0.005795812,0.00015564621,0.00027804365,0.0054337215,1.472941e-05,0.0005678975,0.0006122587,0.00031746618,0.012787038,0.0028042917,0.018212058,0.00034191424,0.0012494021
0E1YTK,9.839003e-08,5.503629e-06,2.155669e-08,1.326647e-07,3.927913e-06,1.5926659e-07,2.2069516e-06,3.9595284e-06,1.3224425e-08,4.1058922e-07,1.1699957e-06,1.7042553e-06,4.6715018e-06,1.0670084e-06,6.6825673e-06,5.8371715e-08,4.5981707e-07,1.2817755e-07,7.406934e-07,3.313442e-07,2.7884757e-06,0.99940574,2.8575698e-07,0.00015180167,3.7569123e-06,2.1701566e-05,2.2466382e-05,3.4300752e-05,0.00014212777,1.5136046e-06,0.00015714823,1.39540095e-08,1.8963387e-05,2.4518794e-08,1.3233118e-06,2.586355e-07,1.3248037e-07,1.5991181e-06,8.331561e-08,7.4324214e-07
0E6W1B,7.3175206e-06,9.828468e-06,1.8869858e-05,4.0748882e-06,2.1054389e-06,1.2092682e-05,2.3598043e-06,2.6847061e-07,7.739722e-06,0.00010771729,1.5584789e-06,1.792003e-06,3.1392617e-06,4.090605e-05,8.40681e-05,0.98990345,3.556054e-05,0.00022203985,3.444165e-05,7.786297e-06,4.927748e-06,3.620781e-06,1.9198947e-06,7.819944e-05,5.7711013e-06,0.0002041627,9.0675303e-07,2.266857e-05,0.004722074,4.6322552e-06,0.00017691977,0.00035235623,0.0014452364,8.967447e-07,2.092409e-05,0.0014834806,1.6055885e-05,1.6576361e-05,1.6926919e-05,0.0009146186
0EGKE8,1.4496343e-05,0.9594982,4.5239183e-05,4.8952323e-05,1.0827593e-05,4.9881226e-07,0.00032774877,0.023839401,0.00011252792,7.406476e-07,1.0301881e-05,0.0009637997,8.147373e-05,6.4946203e-06,3.8813396e-05,2.679777e-08,4.1229278e-08,1.4297386e-07,2.1900163e-05,3.470296e-07,7.843901e-07,1.0273674e-05,2.3154212e-06,3.425069e-08,1.223779e-05,1.6658088e-06,3.3538467e-07,0.00017457044,1.3075551e-05,1.1194104e-06,2.3979253e-06,8.815318e-07,2.4434157e-06,0.00033343816,0.014397141,2.2558486e-05,5.310203e-07,9.321946e-07,9.1668034e-07,3.4446464e-07
0F0R5P,0.0011578938,0.001109998,0.00016171798,0.0007296083,0.07433652,0.00047424567,0.00044639612,0.09431898,0.0012132685,0.0001722594,0.0002370845,0.026429033,0.0035954781,0.12637407,0.0006096213,0.0040448164,0.0032191933,0.0011159222,0.00012529318,1.3108097e-05,1.1101297e-05,0.030147348,0.0022356415,0.0010459167,0.0009955553,0.00028101448,0.00018166391,0.58587754,0.009328379,0.0030918508,0.0004920933,0.00032478967,0.003937997,0.0061840704,0.0033654547,0.00065551687,0.008029768,0.0035378924,3.7565198e-05,0.00035439304
0F7P79,0.99998415,2.5346093e-08,1.9547774e-07,1.4851177e-07,1.05401654e-07,5.952837e-08,6.442828e-08,2.1309026e-07,2.3982316e-09,3.1177683e-10,1.4357884e-05,6.747774e-09,5.221324e-08,4.120214e-10,3.4714479e-10,1.3638406e-10,1.3749156e-09,8.702174e-09,3.5078978e-09,3.7309889e-10,1.3698376e-07,7.0977876e-11,2.6527884e-09,2.1050637e-08,1.0893564e-09,1.4607691e-07,1.4643447e-08,5.9562297e-09,1.7885636e-11,8.6653335e-10,8.893028e-08,8.0955444e-11,8.163744e-10,1.6506645e-08,1.3145919e-08,5.3157896e-09,2.0093173e-08,3.289156e-08,4.107136e-09,8.318553e-10
0GFISU,0.9999975,5.835272e-08,8.536707e-09,1.4934336e-07,8.5030456e-07,1.0884188e-07,4.1993368e-07,3.8659033e-07,9.592619e-10,1.647761e-08,1.9355406e-07,2.0070612e-08,2.9745726e-08,1.8319257e-10,7.140155e-10,1.075888e-11,1.9310546e-09,2.3648405e-09,4.0998202e-08,6.122242e-09,5.6500977e-09,1.00307374e-10,3.243574e-10,3.708382e-08,1.8702712e-10,1.2793386e-07,1.0306976e-09,1.11489475e-08,1.2819765e-11,6.9934164e-10,3.957728e-09,9.854692e-12,7.4139694e-11,2.7154434e-09,4.2640553e-09,1.6758617e-09,4.252668e-09,2.4525344e-09,6.689923e-10,2.1988737e-09
0KBFO1,1.4840333e-06,1.4876822e-06,1.0955591e-05,1.2034366e-06,1.9744539e-06,1.6222621e-06,1.2054686e-06,3.3603876e-05,5.1316247e-06,7.5756575e-06,0.0011367416,2.1780222e-06,2.3599487e-05,1.2301507e-06,1.7822773e-06,1.2038796e-06,2.3321073e-07,1.5109009e-06,9.499005e-06,2.9734822e-06,3.3379752e-07,2.3799577e-05,1.3156875e-06,0.0034523804,0.00015448351,0.00103306,0.00035926045,0.99363154,5.065744e-06,2.885028e-08,1.6169373e-05,2.0959565e-06,1.9771322e-07,2.4575309e-06,1.836558e-05,4.899924e-06,4.204237e-08,4.639878e-05,5.081835e-07,4.351535e-07
