ID,Ring-necked Dove,Black Cuckoo,Red-chested Cuckoo,Fiery-necked Nightjar,Green Wood Hoopoe,Crested Barbet,Cape Batis,Olive Bushshrike,Orange-breasted Bushshrike,Bokmakierie,Black-backed Puffback,Southern Boubou,Black-headed Oriole,Fork-tailed Drongo,African Paradise Flycatcher,Sabota Lark,Eastern Clapper Lark,Rufous-naped Lark,Dark-capped Bulbul,Sombre Greenbul,Long-billed Crombec,African Reed Warbler,Rattling Cisticola,Levaillants Cisticola,Tawny-flanked Prinia,Karoo Prinia,Bar-throated Apalis,Green-backed Camaroptera,Chestnut-vented Warbler,Cape White-eye,Karoo Scrub Robin,White-browed Scrub Robin,Cape Robin-Chat,White-browed Robin-Chat,Chorister Robin-Chat,Southern Double-collared Sunbird,White-bellied Sunbird,African Pipit,African Rock Pipit,Cape Bunting
019OYB,0.000519181,0.00015396306,0.0070672785,0.9855666,2.3347686e-06,7.27809e-05,6.647881e-05,0.00034813987,5.939318e-06,0.00085682195,1.2123008e-06,1.8662755e-05,2.3080422e-05,7.662734e-07,7.2087016e-05,4.741335e-07,6.745747e-05,0.0020320315,0.0015888226,0.00051780883,1.5275892e-06,2.9773933e-08,1.7561279e-06,4.180825e-08,5.352512e-07,5.6450074e-07,1.705339e-06,2.254472e-06,1.03663e-05,6.806897e-06,9.5008645e-06,0.00020279427,9.029381e-05,2.5868352e-05,0.0006354939,2.1839209e-05,1.5816482e-06,9.610667e-08,4.479053e-06,5.259202e-07
01S9OX,0.0010604166,0.0010968652,0.00711131,0.0014181391,0.00052323914,0.0008553603,0.011199761,0.00041325652,0.020148344,0.20682062,0.00019649528,0.0018953232,0.0011825943,0.005209125,0.000593736,0.0085412245,0.0069538346,0.0009560315,0.008889502,0.00010509704,0.00053233013,0.006663478,0.0002846863,0.00047365887,0.00035886327,0.0037220076,0.008095308,0.0035719057,0.5952521,0.00026939297,0.0005786807,0.025837949,0.014368324,0.004455637,0.042253762,0.00027381306,0.00015308615,0.00039977778,0.00056809856,0.0067168903
02CS12,0.0016244279,0.002594033,9.624931e-05,0.0026716855,0.033307485,0.0040100073,0.065917045,0.01936619,0.02268806,0.06751178,0.0014956684,0.002336895,0.001414297,0.050254155,0.0013982106,0.0069246422,0.10023404,0.005769231,0.09748904,0.005819213,0.0040908726,0.01105657,0.008996168,0.01617666,0.009861728,0.15117213,0.0031745422,0.016051179,0.00046437315,0.0012562767,0.022355406,7.772609e-05,0.0005369969,0.006779361,0.00096478645,0.025934877,0.009624674,0.005616324,0.0003129395,0.21257402
02LM3W,5.3669788e-05,8.86848e-05,2.3364986e-05,5.003385e-07,0.000111676454,0.00036627465,0.00031963058,0.83643806,0.0058442843,0.15401942,1.3176056e-06,0.00012615956,0.00019325224,6.964555e-05,2.4642231e-06,2.1266514e-07,1.1058869e-05,4.040591e-06,7.3168906e-07,3.0524123e-07,3.1317433e-07,0.000435472,4.3565637e-06,2.4373637e-06,3.4041338e-07,1.0727357e-05,0.0011107639,4.1549756e-05,0.00045851144,1.3907581e-07,3.7579216e-06,1.0717749e-06,4.139661e-07,3.9041803e-05,0.00020461592,9.545017e-07,4.639717e-07,1.5275734e-06,1.2618351e-06,7.690324e-06
0C3A2V,0.0014201017,9.182276e-05,0.0002057577,0.00089610874,0.00839955,0.000103696264,0.00012667046,0.0028731008,2.8763356e-05,1.8695309e-06,0.005200715,0.0003299289,0.0061233304,0.08796192,0.016716238,3.4774897e-05,1.6353082e-05,0.00032588225,0.00023445081,1.1924257e-05,0.00590235,0.00025174883,0.0013911312,1.9913497e-05,4.9727777e-07,1.248303e-05,0.0011241871,4.7476624e-06,3.1789677e-05,0.1989356,0.00013558714,0.00041732227,0.053061184,0.5839116,0.022939596,0.0002680849,0.00040179826,5.550048e-05,1.3802086e-05,1.8132328e-05
0D4A65,5.523576e-05,7.886491e-05,7.469404e-06,0.000335302,0.00021436172,0.002536527,0.15217936,0.06525984,6.850759e-05,0.72341746,2.5776682e-05,0.0002715788,1.4255288e-05,0.00013999718,2.5107869e-05,6.839136e-06,0.0005726325,1.9985796e-06,0.00025652544,0.00016084315,3.5437468e-05,2.6710472e-05,1.017346e-06,0.00075279013,9.352342e-06,0.009016234,0.036607224,0.004246733,5.7942334e-06,9.2997425e-06,0.00050016487,1.6089645e-05,0.00019940373,0.001215152,0.00043338304,2.1185815e-05,9.874208e-06,0.00032777863,7.548048e-05,0.0008624388
0DK4NW,0.001517081,0.00012231516,4.8343303e-05,0.00054197805,0.0008609065,1.1833464e-05,3.258555e-05,0.003252377,3.0782518e-05,2.893598e-07,0.9718309,3.0608546e-05,9.936477e-06,1.7236357e-06,0.002600825,2.031968e-06,3.1442544e-06,7.5595584e-05,0.0005853377,0.00096937374,5.4583645e-05,2.959417e-07,4.8363177e-05,7.534191e-06,1.8716411e-05,0.0006103175,1.560796e-05,8.87426e-05,1.8312983e-07,1.5676524e-05,5.830495e-06,5.467515e-08,3.7438358e-06,4.9395403e-06,1.4676159e-05,0.016055845,0.0004642015,5.239035e-05,5.052581e-06,5.2890837e-06
0E1YTK,2.5788987e-08,3.686815e-07,6.859012e-08,9.063382e-08,1.1930241e-06,6.237178e-08,1.8440527e-06,4.2843993e-08,3.4319105e-09,5.929866e-07,4.102417e-07,4.2948457e-07,1.0655839e-06,2.1131748e-06,6.0920024e-06,3.1908337e-07,1.5488408e-07,5.2635727e-08,1.2738273e-06,1.6602007e-08,6.672968e-07,0.9992124,3.007051e-07,0.00047197015,9.187335e-07,2.177661e-06,2.9764442e-06,5.819583e-07,0.00028177854,8.70341e-08,4.020241e-06,2.0753836e-08,2.2036184e-06,8.0070755e-08,2.0834518e-07,1.5786736e-07,2.5669882e-08,2.0068047e-07,1.2533251e-06,1.7349213e-06
0E6W1B,3.1627387e-09,1.0445861e-07,3.0215756e-07,2.5949534e-08,1.8903892e-08,4.6895956e-08,1.0008354e-07,2.9943906e-10,1.7092151e-07,2.5057432e-07,1.0036532e-07,7.870405e-08,5.0556352e-08,1.0885689e-06,3.4855768e-06,0.9995189,4.2673146e-05,6.643166e-07,1.0006527e-06,7.2607772e-06,3.1299757e-07,4.848684e-07,7.1841086e-08,1.014605e-07,1.3229563e-07,3.620792e-06,2.4415861e-08,8.898304e-08,2.9260209e-05,9.783487e-08,0.00014576083,9.139635e-05,1.3415374e-07,5.3744e-09,2.5549515e-08,3.986443e-06,5.2034968e-05,4.0591376e-06,7.903002e-08,9.19075e-05
0EGKE8,0.00033554467,0.77458566,0.0018244665,0.00025823805,0.001113796,3.6652725e-06,0.00024632504,0.0018359575,0.00040725738,2.1557786e-05,0.000105003215,0.062839046,0.028170172,0.0015896307,0.0003085242,2.6503129e-05,4.4519093e-06,0.00013853738,0.000511109,4.5413452e-07,6.17289e-07,7.768107e-05,1.2620281e-05,6.84555e-07,5.34182e-05,7.043759e-06,4.664631e-06,0.0003337199,3.0187528e-05,8.601394e-06,8.637702e-06,0.00011405221,5.3717664e-05,0.00019659582,0.12328405,0.0013548854,0.000119276774,2.8565812e-06,1.04924075e-05,2.4280544e-07
0F0R5P,0.010888151,0.002792757,0.0017258783,0.056680817,0.11252298,0.0023135643,0.0032657287,0.003999231,0.00448182,0.0055332757,0.044892043,0.010231011,0.12603803,0.20634827,0.06776793,0.00050231244,0.0055498383,0.00075947563,0.001075341,7.235651e-05,0.00031225284,0.010123836,0.0022775885,0.0020990311,0.00033012114,0.0052988147,0.0002614856,0.04844954,0.00065065117,0.08461254,0.014964122,0.0007972253,0.051800683,0.021015512,0.005342597,0.009235449,0.033024453,0.03857353,0.001152097,0.0022375172
0F7P79,0.99999523,2.4931828e-07,2.7615066e-08,2.5184551e-08,1.0934586e-06,8.3003204e-07,1.5364735e-08,1.3037624e-07,2.4475333e-09,2.0108262e-09,2.0341082e-07,6.816545e-07,2.0820287e-10,1.249312e-10,4.9442384e-09,1.7870132e-09,6.8880124e-10,2.2612023e-10,4.1614634e-10,1.6342102e-09,1.1905194e-06,1.4957242e-10,1.6133268e-09,1.6081632e-08,5.352192e-08,1.1145371e-08,6.7340786e-09,2.3388017e-08,1.5897685e-10,4.9075024e-09,1.0568143e-07,3.5482377e-09,6.746131e-11,6.051626e-10,2.9457768e-08,9.943533e-10,4.302262e-09,9.4433785e-09,1.3784206e-09,8.121036e-09
